sex,year,age,n,qx,lx,dx,Lx,Tx,ex,type
female,2039,35,5,0.00589027604244082,98218,578,489645,5027518.02682762,51.1873386428925,lower
female,2039,40,5,0.00726728814208673,97640,710,486425,4537873.02682762,46.4755533267884,lower
female,2039,45,5,0.0105906738736334,96930,1026,482085,4051448.02682762,41.7976686972828,lower
female,2039,50,5,0.0152274432923463,95904,1461,475867.5,3569363.02682762,37.2180829457334,lower
female,2039,55,5,0.0220397515412479,94443,2081,467012.5,3093495.52682762,32.7551594806139,lower
female,2039,60,5,0.0329343109888467,92362,3042,454205,2626483.02682762,28.4368357855787,lower
female,2039,65,5,0.0471492432189146,89320,4212,436070,2172278.02682762,24.3201749532873,lower
female,2039,70,5,0.0718742164875023,85108,6117,410247.5,1736208.02682762,20.400056714147,lower
female,2039,75,5,0.115161113756041,78991,9096,372215,1325960.52682762,16.786222820671,lower
female,2039,80,5,0.182619036706981,69895,12764,317565,953745.526827619,13.6454042038432,lower
female,2039,85,,1,57131,57131,636180.526827619,636180.526827619,11.1354698294729,lower
female,2040,0,1,0.00726214442257966,1e+05,726,99320.9176804852,8502382.21649854,85.0238221649854,lower
female,2040,1,4,0.000686028954499024,99274,68,396934.867875684,8403061.29881805,84.6451366804808,lower
female,2040,5,5,0.000472730243541925,99206,47,495912.5,8006126.43094237,80.7020384950746,lower
female,2040,10,5,0.000309474576377711,99159,31,495717.5,7510213.93094237,75.7391051840213,lower
female,2040,15,5,0.000790120870348377,99128,78,495445,7014496.43094237,70.7620090281492,lower
female,2040,20,5,0.00189270305646452,99050,188,494780,6519051.43094237,65.8157640680704,lower
female,2040,25,5,0.00288521490435449,98862,285,493597.5,6024271.43094237,60.9361679001272,lower
female,2040,30,5,0.00331053398680633,98577,326,492070,5530673.93094237,56.1051150972577,lower
female,2040,35,5,0.005824133853125,98251,573,489822.5,5038603.93094237,51.2829786052292,lower
female,2040,40,5,0.00719377403220014,97678,702,486635,4548781.43094237,46.5691499717682,lower
female,2040,45,5,0.0105034451566884,96976,1019,482332.5,4062146.43094237,41.8881623385412,lower
female,2040,50,5,0.0151104571498325,95957,1450,476160,3579813.93094237,37.3064386229496,lower
female,2040,55,5,0.0218932059159171,94507,2069,467362.5,3103653.93094237,32.8404661130114,lower
female,2040,60,5,0.0326974871913839,92438,3022,454635,2636291.43094237,28.5195637177608,lower
female,2040,65,5,0.046806448967477,89416,4186,436615,2181656.43094237,24.3989490800569,lower
female,2040,70,5,0.071294388725851,85230,6076,410960,1745041.43094237,20.4744976058004,lower
female,2040,75,5,0.114453857538113,79154,9059,373122.5,1334081.43094237,16.8542515974224,lower
female,2040,80,5,0.181520757848067,70095,12724,318665,960958.93094237,13.70937914177,lower
female,2040,85,,1,57371,57371,642293.93094237,642293.93094237,11.1954459734425,lower
female,2041,0,1,0.00713846970469589,1e+05,714,99331.9019826415,8512706.31086726,85.1270631086726,lower
female,2041,1,4,0.000662517151179479,99286,66,396987.630351043,8413374.40888461,84.7387789706969,lower
female,2041,5,5,0.000461404524164707,99220,45,495987.5,8016386.77853357,80.7940614647609,lower
female,2041,10,5,0.000304561190142854,99175,31,495797.5,7520399.27853357,75.8295868770716,lower
female,2041,15,5,0.000778529407720295,99144,77,495527.5,7024601.77853357,70.8525153164445,lower
female,2041,20,5,0.00186717661839302,99067,185,494872.5,6529074.27853357,65.9056424292001,lower
female,2041,25,5,0.00284612406593079,98882,281,493707.5,6034201.77853357,61.0242691140306,lower
female,2041,30,5,0.00327335317230779,98601,323,492197.5,5540494.27853357,56.1910556539343,lower
female,2041,35,5,0.005766924228056,98278,567,489972.5,5048296.77853357,51.3675164180546,lower
female,2041,40,5,0.00712572707208982,97711,696,486815,4558324.27853357,46.6510861472462,lower
female,2041,45,5,0.0104278228970808,97015,1012,482545,4071509.27853357,41.9678325880902,lower
female,2041,50,5,0.0150061530616506,96003,1440,476415,3588964.27853357,37.383876321923,lower
female,2041,55,5,0.0217635961468932,94563,2058,467670,3112549.27853357,32.9150860117971,lower
female,2041,60,5,0.0324879756605882,92505,3006,455010,2644879.27853357,28.5917439979847,lower
female,2041,65,5,0.0465077361632096,89499,4162,437090,2189869.27853357,24.4680865544148,lower
female,2041,70,5,0.0708128496375038,85337,6043,411577.5,1752779.27853357,20.5394996136913,lower
female,2041,75,5,0.113843871752887,79294,9027,373902.5,1341201.77853357,16.9142908484068,lower
female,2041,80,5,0.180525919500756,70267,12685,319622.5,967299.278533571,13.7660534608503,lower
female,2041,85,,1,57582,57582,647676.778533571,647676.778533571,11.2479034860472,lower
female,2042,0,1,0.00702188574028335,1e+05,702,99342.907947091,8522336.90724126,85.2233690724126,lower
female,2042,1,4,0.00064111147984364,99298,64,397040.390114818,8422993.99929417,84.8254144020441,lower
female,2042,5,5,0.000451096418905138,99234,45,496057.5,8025953.60917935,80.8790697662027,lower
female,2042,10,5,0.000300261383363353,99189,29,495872.5,7529896.10917935,75.9146287308003,lower
female,2042,15,5,0.000768401758300918,99160,77,495607.5,7034023.60917935,70.9360993261331,lower
female,2042,20,5,0.00184349686508595,99083,182,494960,6538416.10917935,65.989282815209,lower
female,2042,25,5,0.00281170946613513,98901,278,493810,6043456.10917935,61.106117321153,lower
female,2042,30,5,0.00324091119425879,98623,320,492315,5549646.10917935,56.2713171286551,lower
female,2042,35,5,0.00571197472884917,98303,561,490112.5,5057331.10917935,51.4463557488516,lower
female,2042,40,5,0.00706761854459407,97742,691,486982.5,4567218.60917935,46.7272882607206,lower
female,2042,45,5,0.0103573287596258,97051,1005,482742.5,4080236.10917935,42.0421851313161,lower
female,2042,50,5,0.0149083270256303,96046,1432,476650,3597493.60917935,37.455944122393,lower
female,2042,55,5,0.0216471994406508,94614,2048,467950,3120843.60917936,32.9850086581199,lower
female,2042,60,5,0.0323006049369983,92566,2990,455355,2652893.60917935,28.6594819823624,lower
female,2042,65,5,0.046220480348271,89576,4141,437527.5,2197538.60917935,24.5326718002518,lower
female,2042,70,5,0.0703540398919119,85435,6010,412150,1760011.10917935,20.6005865181642,lower
female,2042,75,5,0.113286475423718,79425,8998,374630,1347861.10917935,16.9702374463879,lower
female,2042,80,5,0.179666701463063,70427,12653,320502.5,973231.109179355,13.8190056253902,lower
female,2042,85,,1,57774,57774,652728.609179355,652728.609179355,11.2979646411769,lower
female,2043,0,1,0.00688501311640445,1e+05,689,99354.8199089148,8533711.27979573,85.3371127979573,lower
female,2043,1,4,0.000615986487045663,99311,61,397099.520645616,8434356.45988681,84.9287235038094,lower
female,2043,5,5,0.000439156079022296,99250,43,496142.5,8037256.93924119,80.9799187832866,lower
female,2043,10,5,0.000295232269805769,99207,30,495960,7541114.4392412,76.0139348961383,lower
female,2043,15,5,0.000755802402536146,99177,75,495697.5,7045154.4392412,71.036172088702,lower
female,2043,20,5,0.00181514646661375,99102,179,495062.5,6549456.9392412,66.088039991536,lower
